"word","sentiment"
"abundancia","negative"
"abundante","positive"
"adecuado","positive"
"admirable","positive"
"adorar","positive"
"agitacion","negative"
"agotamiento","negative"
"agradable","positive"
"agudo","negative"
"alerta","positive"
"amenaza","negative"
"apreciado","positive"
"apropiado","positive"
"aviso","negative"
"belleza","positive"
"bueno","positive"
"burla","negative"
"calvario","negative"
"cansancio","negative"
"censura","negative"
"confianza","positive"
"confusion","negative"
"contento","positive"
"conveniente","positive"
"correccion","positive"
"corrupcion","negative"
"cortes","positive"
"criterio","positive"
"crueldad","negative"
"curioso","negative"
"desconocido","negative"
"destacable","positive"
"dictadura","negative"
"diestro","positive"
"dificil","negative"
"dificultad","negative"
"digno","positive"
"educado","positive"
"entusiasmo","positive"
"erupcion","negative"
"estima","positive"
"estimulante","positive"
"estricto","negative"
"facultades","positive"
"feroz","negative"
"fijacion","negative"
"funcional","positive"
"gasto","negative"
"gozo","positive"
"gravedad","negative"
"ilegal","negative"
"imperial","positive"
"inestable","negative"
"letal","negative"
"magnifico","positive"
"maldicion","negative"
"mancha","negative"
"miseria","negative"
"misterioso","negative"
"obediencia","positive"
"opresion","negative"
"optimista","positive"
"oscuro","negative"
"pacifico","positive"
"parasito","negative"
"parcial","positive"
"parodia","negative"
"pasado","negative"
"peor","negative"
"perfeccion","positive"
"pesado","negative"
"placido","positive"
"plaga","negative"
"pleito","negative"
"pobre","negative"
"poetico","positive"
"potente","positive"
"predominante","positive"
"preocupado","negative"
"preservacion","positive"
"prestigio","positive"
"presto","positive"
"propicio","positive"
"rendimiento","negative"
"renovacion","positive"
"renuncia","negative"
"reposo","positive"
"resistente","positive"
"riguroso","negative"
"sabio","positive"
"sabor","positive"
"salvacion","positive"
"salvaje","negative"
"sonrisa","positive"
"superficial","negative"
"tirania","negative"
"toxico","negative"
"vacio","negative"
"valioso","positive"
"viable","positive"
"abandonar","negative"
"abandono","negative"
"abarrotado","negative"
"abatir","negative"
"abierto","positive"
"abominable","negative"
"abominacion","negative"
"abominar","negative"
"aborrecer","negative"
"aborrecible","negative"
"aborrecimiento","negative"
"aborto","negative"
"abrasador","negative"
"abrumar","negative"
"absolutismo","negative"
"absurdo","negative"
"abundoso","positive"
"aburrido","negative"
"acabado","negative"
"acaudalado","positive"
"acertado","positive"
"achaque","negative"
"achispado","negative"
"acibarar","negative"
"acido","negative"
"aclamacion","positive"
"acobardar","negative"
"acogedor","positive"
"acosar","negative"
"acre","negative"
"acusacion","negative"
"acusar","negative"
"adinerado","positive"
"admiracion","positive"
"admonitorio","negative"
"adorable","positive"
"adusto","negative"
"adversidad","negative"
"advertencia","negative"
"afable","positive"
"afan","negative"
"afeccion","negative"
"afecto","positive"
"afectuoso","positive"
"afeminado","negative"
"affaire","positive"
"aficion","positive"
"afirmar","positive"
"afirmativo","positive"
"afliccion","negative"
"afligido","negative"
"afortunado","positive"
"afrenta","negative"
"afrontar","negative"
"agitado","negative"
"agitar","negative"
"agobiante","negative"
"agravamiento","negative"
"agravar","negative"
"agrio","negative"
"agudeza","negative"
"ahuecamiento","negative"
"ajustar","positive"
"alboroto","negative"
"alborozar","positive"
"alborozo","positive"
"alcoholico","negative"
"alcornoque","negative"
"alegre","positive"
"alegria","positive"
"alentar","positive"
"alfilerazo","negative"
"algazara","positive"
"aliado","positive"
"alifafe","negative"
"alimenticio","positive"
"alivio","positive"
"alocado","negative"
"altaneria","negative"
"altanero","negative"
"altivez","negative"
"altiveza","negative"
"altivo","negative"
"altruista","positive"
"amable","positive"
"amado","positive"
"amargar","negative"
"amargo","negative"
"amargura","negative"
"ambicion","positive"
"amenazador","negative"
"ameno","positive"
"amigable","positive"
"amistoso","positive"
"amonestar","negative"
"angelical","positive"
"angelico","positive"
"angustia","negative"
"angustiado","negative"
"angustioso","negative"
"animado","positive"
"animal","negative"
"animar","positive"
"animosidad","negative"
"aniquilacion","negative"
"aniquilamiento","negative"
"ansia","negative"
"ansiedad","negative"
"ansioso","positive"
"antagonico","negative"
"antediluviano","negative"
"anticuado","negative"
"antiguo","negative"
"antipatico","negative"
"antitetico","negative"
"anular","negative"
"apacible","positive"
"apasionado","positive"
"apasionante","positive"
"apenado","negative"
"apesadumbrado","negative"
"aplauso","positive"
"apocar","negative"
"apoderarse","negative"
"aprension","negative"
"apretura","negative"
"aprieto","negative"
"apto","positive"
"apuesto","positive"
"apuro","negative"
"aranazo","negative"
"ardiente","positive"
"ardor","positive"
"arisco","negative"
"arpia","negative"
"arrancar","negative"
"arranque","positive"
"arrebatamiento","positive"
"arrebatar","positive"
"arrebato","positive"
"arrepentirse","positive"
"arriesgado","negative"
"arriesgar","negative"
"arrobamiento","positive"
"arrobar","positive"
"arrogancia","negative"
"arrogante","negative"
"arrojado","positive"
"arruinar","negative"
"arte","positive"
"artero","negative"
"artificial","negative"
"ascendente","positive"
"asco","negative"
"asegurar","positive"
"asesino","negative"
"asimetria","negative"
"asombrar","negative"
"asombroso","positive"
"aspiracion","positive"
"asqueado","negative"
"asquear","negative"
"asqueroso","negative"
"astuto","positive"
"asunto","positive"
"asustar","negative"
"atencion","positive"
"atento","positive"
"atolladero","negative"
"atormentar","negative"
"atractivo","positive"
"atrayente","positive"
"atrevido","positive"
"atrevimiento","negative"
"atribulacion","negative"
"atrocidad","negative"
"atroz","negative"
"aturdir","negative"
"aturrullar","negative"
"audaz","positive"
"austero","negative"
"autentico","positive"
"autoritarismo","negative"
"autorizacion","positive"
"aventajar","positive"
"aventura","positive"
"aversion","negative"
"bacanal","negative"
"bajo","negative"
"bajon","negative"
"baladron","negative"
"barbaridad","negative"
"barbarie","negative"
"barbaro","negative"
"barrila","negative"
"basto","negative"
"basura","negative"
"befa","negative"
"belico","negative"
"belicoso","negative"
"bellaco","negative"
"bello","positive"
"bendecir","positive"
"beneficio","positive"
"beneficioso","positive"
"benefico","positive"
"benevolencia","positive"
"benevolente","positive"
"benevolo","positive"
"berenjenal","negative"
"bestia","negative"
"bestial","negative"
"bienaventuranza","positive"
"bienestar","positive"
"bizarro","positive"
"bobo","negative"
"bocon","negative"
"bombon","positive"
"bonito","positive"
"borracho","negative"
"botarate","negative"
"braveza","negative"
"bravucon","negative"
"bravura","negative"
"brega","negative"
"brillante","positive"
"brillantez","positive"
"bronca","negative"
